time,open,high,low,close,Volume,Volume
1608883200,655.35,669,651.15,666.03,92331,NaN
1608890400,665.94,676.9,660.19,672.25,165603,NaN
1608897600,673,675.38,667.65,672.11,64000,NaN
1608904800,672.23,674.22,654.3,655.51,224268,NaN
1608912000,655.59,667.57,649.06,657.7,268771,NaN
1608919200,657.57,664.93,655.91,661.95,166220,NaN
1608926400,662.37,664.87,658.22,661.56,99411,NaN
1608933600,661.57,672.43,660.26,671.32,255621,NaN
1608940800,671.4,675.31,665.21,673.5,254311,NaN
1608948000,673.42,685.84,670.44,682.41,256223,NaN
1608955200,682.24,683.21,673.31,674.09,157140,NaN
1608962400,673.82,677.46,667.89,671.76,145156,NaN
1608969600,671.66,679.46,665.29,669.07,176356,NaN
1608976800,669.16,670.04,658.8,667.44,221871,NaN
1608984000,667.11,673.61,663.6,668.97,257619,NaN
1608991200,669.06,681.78,665.94,675.55,484358,NaN
1608998400,675.54,699.68,674.32,693.57,752131,NaN
1609005600,693.71,697.88,688.7,696.31,175676,NaN
1609012800,696.2,705.76,692.86,699.22,516848,NaN
1609020000,699.52,699.97,677.7,687.37,365334,254962.4
1609027200,687.8,696.81,685.25,692.14,365355,268613.6
1609034400,692.28,705.98,691.02,696.98,373903,279028.6
1609041600,696.43,701.55,694.75,699.87,118898,281773.5
1609048800,699.42,711.24,699.42,703.89,278265,284473.35
1609056000,704.13,708.99,692.2,700.17,636584,302864
1609063200,699.93,703.46,672.89,689.15,1007714,344938.7
1609070400,688.99,703.86,676.38,703.8,495002,364718.25
1609077600,703.99,762.56,702,760.74,1704881,437181.25
1609084800,761,782.66,741.38,749.42,1659800,507455.7
1609092000,749.39,769.14,746.09,765.81,489221,519105.6
1609099200,766,766.17,713.34,734.62,1406660,581581.6
1609106400,734.53,756.71,732.45,742.06,292146,588931.1
1609113600,741.83,782.14,738.11,767.61,712305,615728.55
1609120800,767.35,770.8,755.44,763.79,454662,627368.1
1609128000,763.64,775.67,756.95,774.86,359078,632441.05
1609135200,775.17,806.71,766.99,799.32,952686,655857.45
1609142400,799.86,806.6,787.74,797.17,499578,643229.8
1609149600,796.63,799.56,782.23,795.69,345040,651698
1609156800,795.29,800.02,773.92,789.33,584814,655096.3
1609164000,790,805.84,787.14,790.37,432842,658471.7
1609171200,791,809.19,787.18,800.88,579888,669198.35
1609178400,801.14,811,797.5,806.04,408398,670923.1
1609185600,806.09,809.66,785.72,789.88,537154,691835.9
1609192800,789.39,797.16,775.07,789.06,525174,704181.35
1609200000,788.99,800.55,759.4,771.56,624246,703564.45
1609207200,771.31,777.54,746.89,748.22,545249,680441.2
1609214400,748.02,757.29,737.08,757.15,549119,683147.05
1609221600,757.24,763.88,750.78,757.48,304613,613133.65
1609228800,758.02,778.07,758.02,771.96,274170,543852.15
1609236000,771.6,787,769.96,782.16,428915,540836.85
1609243200,782.01,794.2,779.18,783.85,386434,489825.55
1609250400,783.94,785.04,766.22,772.23,332506,491843.55
1609257600,772.44,772.75,756.03,772.58,250465,468751.55
1609264800,772.5,785.75,771.28,783.47,79585,449997.7
1609272000,784.02,785.93,775,778.87,61040,435095.8
1609279200,778.87,793.83,777.93,788.69,73445,391133.75
1609286400,788.93,807.17,788.93,797.01,237531,378031.4
1609293600,797.14,804.16,791.25,794.41,320396,376799.2
1609300800,794.47,797.28,782.48,790.77,308228,362969.9
1609308000,790.56,804.74,787.78,793,208077,351731.65
1609315200,793.15,797.92,772.88,782.81,578218,351648.15
1609322400,782.45,793,778.54,783.72,208541,341655.3
1609329600,783.3,787.88,776.93,782.14,116302,320612.7
1609336800,782.51,795.87,782.42,793.63,83291,298518.55
1609344000,793.65,798.46,785.11,793.15,138605,274236.5
1609351200,793.24,820,789.23,812.23,375122,265730.15
